Release_liftover_manifest	submitted_anatomic_site	anatomic_site	laterality
Azenta WGS set #2	Soft tissue, maxilla-right	maxilla	Right
Azenta WGS Set #4	Soft tissue, mediastinum	mediastinum	
Azenta WGS set #3	Soft tissue, mouth	mouth	
Azenta WGS Set #5	Soft tissue, mouth	mouth	
Azenta WGS Set #5	Soft tissue, mouth-right	mouth	Right
Azenta WGS Set #4	Soft tissue, nasal cavity	nasal cavity	
Azenta WGS Set #5	Soft tissue, nasal cavity	nasal cavity	
Azenta WGS set #3	Soft tissue, nasal cavity-left	nasal cavity	Left
Azenta WGS set #3	Soft tissue, nasal cavity-right	nasal cavity	Right
Azenta WGS set #1 	Soft tissue, neck	neck	
Azenta WGS set #3	Soft tissue, neck-left	neck	Left
Azenta WGS Set #5	Soft tissue, neck-left	neck	Left
Azenta WGS set #3	Soft tissue, neck-posterior	neck	
Azenta WGS set #3	Soft tissue, neck-right	neck	Right
Azenta WGS Set #4	Soft tissue, nose-left lower	nose	Left
Azenta WGS set #3	Soft tissue, orbit-left	orbital cavity	Left
Azenta WGS Set #5	Soft tissue, orbit-left	orbital cavity	Left
Azenta WGS set #3	Soft tissue, orbit-left anterior	orbital cavity	Left
Azenta WGS set #3	Soft tissue, orbit-right	orbital cavity	Right
Azenta WGS set #3	Soft tissue, orbit-right lateral	orbital cavity	Right
Azenta WGS set #3	Soft tissue, pelvis	pelvic region of trunk	
Azenta WGS Set #5	Soft tissue, pelvis	pelvic region of trunk	
Azenta WGS set #3	Soft tissue, pelvis-left	pelvic region of trunk	Left
Azenta WGS Set #5	Soft tissue, peritoneum	peritoneum	
Azenta WGS set #3	Soft tissue, retroperitoneum	retroperitoneal space	
Azenta WGS Set #4	Soft tissue, retroperitoneum-left	retroperitoneal space	Left
Azenta WGS set #1 	Soft tissue, rib	trunk	
Azenta WGS set #3	Soft tissue, scalp	scalp	
Azenta WGS Set #5	Soft tissue, scalp	scalp	
Azenta WGS Set #4	Soft tissue, scalp-left	scalp	Left
Azenta WGS Set #5	Soft tissue, shoulder-left	shoulder	Left
Azenta WGS set #3	Soft tissue, shoulder-right	shoulder	Right
Azenta WGS Set #4	Soft tissue, sinus-right	paranasal sinus	Right
Azenta WGS set #3	Soft tissue, spine	spinal cord	
Azenta WGS Set #5	Soft tissue, spine	spinal cord	
Azenta WGS Set #4	Soft tissue, spine-anterior	spinal cord	
Azenta WGS set #3	Soft tissue, spine-para	spinal cord	
Azenta WGS set #2	Soft tissue, spine-right	spinal cord	Right
Azenta WGS set #3	Soft tissue, testicle-left	testis	Left
Azenta WGS Set #5	Soft tissue, testicle-left	testis	Left
Azenta WGS set #2	Soft tissue, testicle-right	testis	Right
Azenta WGS set #3	Soft tissue, thigh-left	leg	Left
Azenta WGS Set #5	Soft tissue, thigh-left	leg	Left
Azenta WGS set #3	Soft tissue, thigh-left posterior	leg	Left
Azenta WGS set #3	Soft tissue, thigh-right	leg	Right
Azenta WGS set #2	Soft tissue, thigh-right anterior	leg	Right
Azenta WGS Set #4	Soft tissue, thigh-right posterior	leg	Right
Azenta WGS set #1 	Soft tissue, thorax-left	chest	Left
Azenta WGS Set #4	Soft tissue, thorax-right	chest	Right
Azenta WGS set #3	Soft tissue-right upper	connective tissue	
Azenta WGS Set #4	Spermatic cord-left	spermatic cord	Left
Azenta WGS Set #5	Spinal cord	spinal cord	
Azenta WGS set #1 	Spinal cord-left	spinal cord	Left
Azenta WGS set #1 	Spinal cord-lower	spinal cord	
Azenta WGS Set #5	Spinal cord-para	spinal cord	
Release 50	Spine, Whole	vertebral column	
Azenta WGS set #3	Testicle	testis	
Azenta WGS set #3	Testicle-left	testis	Left
Azenta WGS Set #5	Testicle-left	testis	Left
Azenta WGS set #3	Testicle-right	testis	Right
Azenta WGS set #3	Testicle-right upper	testis	Right
Azenta WGS set #1 	thigh	leg	
Release 47 liftover	Thigh, NOS	leg	
Azenta WGS Set #4.1	Thorax	chest	 
Azenta WGS set #1 	Thorax-left posterior	chest	Left
Azenta WGS set #1 	Thorax-left posterior	chest	Left
Azenta WGS set #1 	Thyroid	thyroid gland	
Azenta WGS set #3	Thyroid-left	thyroid gland	Left
