Release_liftover_manifest	submitted_diagnosis	diagnosis	comments
Release 47 liftover	High-grade malignancy with rhabdomyoblastic differentiation	"Neoplasm, malignant"	
Release 47 liftover	High-grade malignant glioma	"High-grade glioma, NOS or NEC"	
Release 47 liftover	High-grade malignant neoplasm	"Neoplasm, malignant"	
Release 47 liftover	High-grade malignant neoplasm with desmin expression	"Neoplasm, malignant"	
Release 47 liftover	High-grade malignant neoplasm with mesenchymal phenotype	"Neoplasm, malignant"	
Release 47 liftover	"High-grade malignant neoplasm, IDH wild type"	"Neoplasm, malignant"	
Release 47 liftover	"High-grade malignant neoplasm, small round blue cell category."	"Neoplasm, malignant"	
Release 47 liftover	High-grade malignant tumor with divergent differentiation	"Neoplasm, malignant"	
Release 47 liftover	"High-grade malignant tumor, favor sarcoma. The differential diagnosis includes Ewings sarcoma and BCOR-rearranged sarcoma"	"Neoplasm, malignant"	
Release 47 liftover	High-grade neoplasm	"Neoplasm, malignant"	
Release 47 liftover	High-grade neoplasm consistent with metastatic pleuropulmonary blastoma	"Neoplasm, malignant"	
Release 47 liftover	High-grade neoplasm with neuroepithelial features	"Neoplasm, malignant"	
Release 47 liftover	High-grade neoplasm with primitive/embryonal features	"Neoplasm, malignant"	
Release 47 liftover	High-grade neoplasm with sarcoma feature	"Neoplasm, NOS"	
Release 47 liftover	"High-grade neoplasm, favor embryonal tumor"	"Neoplasm, malignant"	
Release 47 liftover	"High-grade neoplasm, favor glial"	"Neoplasm, malignant"	
Release 47 liftover	"High-grade neoplasm, favor high-grade glioma"	"Neoplasm, malignant"	
Release 47 liftover	High-grade neuroepithelial neoplasm	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"High-grade neuroepithelial neoplasm, ATRX expression lost"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"High-grade neuroepithelial neoplasm, CNS WHO grade 4"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	High-grade Neuroepithelial tumor	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	High-grade neuroepithelial tumor consistent with embryonal tumor	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	High-grade neuroepithelial tumor favor glial	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"High-grade neuroepithelial tumor favor medulloblastoma, CNS WHO grade 4"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	High-grade neuroepithelial tumor most c/w ependymoma	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"High-grade neuroepithelial tumor, CNS WHO grade 4"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"High-grade neuroepithelial tumor, consistent with supratentorial ependymoma"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"High-grade neuroepithelial, neoplasm"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	High-grade pleomorphic sarcoma	High Grade Sarcoma	
Release 47 liftover	High-grade poorly differentiated sarcoma	Rhabdomyosarcoma	
Release 47 liftover	High-grade primary CNS neoplasia	"Neoplasm, NOS"	
Release 47 liftover	High-grade primary CNS neoplasm	"Neoplasm, NOS"	
Release 47 liftover	High-grade primitive appearing neoplasm	"Neoplasm, malignant"	
Release 47 liftover	High-grade rhabdomyosarcoma	Rhabdomyosarcoma	
Release 47 liftover	High-grade rhabdomyosarcoma with pleomorphic features	Pleomorphic Rhabdomyosarcoma	
Release 47 liftover	High-grade Sarcoma	High Grade Sarcoma	
Release 47 liftover	High-grade sarcoma with myxoid differentiation	High Grade Sarcoma	
Release 47 liftover	High-grade sarcoma with skeletal muscle differentiation involving fibrous connective tissue	High Grade Sarcoma	
Release 47 liftover	"High-grade sarcoma, favor primary intracranial sarcoma"	High Grade Sarcoma	
Release 47 liftover	"High-grade sarcoma, primitive cell pattern"	High Grade Sarcoma	
Release 47 liftover	High-grade spindle cell neoplasm	"Neoplasm, NOS"	
Release 47 liftover	High-grade spindle cell sarcoma	Spindle cell sarcoma	
Release 47 liftover	High-grade spindle cell sarcoma compatible with high grade malignant peripheral nerve sheath tumor	Spindle cell sarcoma	
Release 47 liftover	High-grade tumor	"Neoplasm, malignant"	
Release 47 liftover	"High-grade tumor, favor choroid plexus carcinoma"	"Neoplasm, malignant"	
Release 47 liftover	High-grade undifferentiated sarcoma	High Grade Sarcoma	
Release 47 liftover	"High-grade, poorly differentiated carcinoma"	"Carcinoma, NOS"	
Release 47 liftover	"High-grade, primitive neuroepithelial neoplasm"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"High-grade, small round blue cell sarcoma"	Small cell sarcoma	
Release 47 liftover	Highly anaplastic malignant neoplasm	"Neoplasm, malignant"	
Release 47 liftover	Highly atypical spitzoid neoplasm	"Neoplasm, NOS"	
Release 47 liftover	Histiocytic malignancy	"Neoplasm, malignant"	
Release 47 liftover	Histologically consistent with pilocytic astrocytoma	Unknown	
Release 47 liftover	Histologically high grade neoplasm with ependymal differentiation	"Neoplasm, NOS"	
Release 47 liftover	Histologically high-grade tumor with features of embryonal tumor (atypical teratoid/rhabdoid tumor)	"Neoplasm, malignant"	
Release 47 liftover	Histologically low grade neuroepithelial tumor	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Histologically low-grade astrocytoma with piloid features	"Astrocytoma, NOS"	
Release 47 liftover	Histologically low-grade glioma	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	Histologically low-grade glioma with features suggestive of pilocytic astrocytoma	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	"Histologically low-grade glioma with pilocytic features, most suggestive of pilocytic astrocytoma"	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	Histologically low-grade glioneuronal tumor	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Histologically low-grade neuroepithelial tumor	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Histologically pilocytic astrocytoma	Pilocytic astrocytoma	
Release 47 liftover	Histopathologically compatible with glioma	Unknown	
Release 47 liftover	Histopathologically compatible with low grade glioma	Unknown	
Release 47 liftover	Hypercellular brain parenchyma with infiltrating glial cells suspicious for a glial/glioneuronal neoplasm	Unknown	
Release 47 liftover	"Hypercellular cortical parenchyma, features suggestive of diffuse glioma"	Unknown	
Release 47 liftover	Hypercellular glial neoplasm	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Hypercellular glial tissue	Unknown	
Release 47 liftover	"Hypercellular glial tissue with atypia, suggestive of neoplastic process"	Unknown	
Release 47 liftover	"Hypercellular glial tissue, concerning for a glial neoplasm"	Unknown	
Release 47 liftover	"Hypercellular glial tissue, favor glial neoplasm"	Unknown	
Release 47 liftover	Hypercellular lesion with atypia	Unknown	
Release 47 liftover	Hypercellular lesion with marked atypia	Unknown	
Release 47 liftover	"hypercellular marrow with metastatic neuroblastoma, extensive marrow involvement (>70%)"	Neuroblastoma	
Release 47 liftover	Hypercellular neuroepithelial tumor with occasional mitotic figures	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Hypercellular neuroepithelial tumor with some features of glioma, possibly high grade"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Hypercellular tissue consistent with glioma	Unknown	
Release 47 liftover	Hypocellular low grade lesion	Unknown	
Release 47 liftover	"Hypocellular sclerotic collagen with rare nerve bundles, see comment, a benign fibroblastic tumor (such as fibroma)"	"Neoplasm, NOS"	
Release 47 liftover	IDH mutant glioma	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	IDH mutant glioma; favor IDH mutant astrocytoma	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	IDH1 mutated diffuse astrocytoma	"Astrocytoma, NOS"	
Release 47 liftover	IDH-mutated astrocytoma	"Astrocytoma, IDH-mutant"	
Release 47 liftover	Immature teratoma	"Teratoma, NOS"	
Release 47 liftover	Immature Teratoma with features suspicious for yolk sac tumor	"Teratoma, NOS"	
Release 47 liftover	Infant hemispheric glioma	Infant-type hemispheric glioma	
Release 47 liftover	"Infantile rhabdomyosarcoma, spindle cell type, high grade"	Spindle cell rhabdomyosarcoma	
Release 47 liftover	Infiltrating glial neoplasm	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Infiltrating glioma	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Infiltrating glioma with focal high grade features	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Infiltrating glioma, high-grade"	"High-grade glioma, NOS or NEC"	
Release 47 liftover	"Infiltrating glioma, IDH-mutant with rare mitoses"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Infiltrating glioma, morphologically high grade"	"High-grade glioma, NOS or NEC"	
Release 47 liftover	Infiltrating high grade astrocytoma	"Astrocytoma, NOS"	
Release 47 liftover	"Infiltrating high grade diffuse glioma, with scattered mitosis pending molecular for further grading and characterization"	"High-grade glioma, NOS or NEC"	
Release 47 liftover	Infiltrating high grade glioma	"High-grade glioma, NOS or NEC"	
Release 47 liftover	Infiltrating high grade glioma NOS	"High-grade glioma, NOS or NEC"	
Release 47 liftover	"Infiltrating high grade neoplasm, favor infiltrating high grade glioma"	"Neoplasm, malignant"	
Release 47 liftover	Infiltrating low grade glioma with BRAF-KIAA fusion	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	Infiltrating neuroepithelial neoplasm	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Infiltrative fibromatosis	Unknown	
Release 47 liftover	Infiltrative glioma	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Infiltrative glioma, WHO grade 2"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Infiltrative high grade glioma with areas of incipient necrosis	"High-grade glioma, NOS or NEC"	
Release 47 liftover	Infiltrative low grade glioma	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	"Infiltrative low-grade glioneuronal tumor, favor ganglioglioma"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Infiltrative spindle cell proliferation	Unknown	
Release 47 liftover	Inflammatory myofibroblastic neoplasm	"Myofibroblastic tumor, NOS"	
Release 47 liftover	Inflammatory myofibroblastic tumor with an associated odontogenic keratocyst	"Myofibroblastic tumor, NOS"	
Release 47 liftover	"Inflammatory myofibroblastic tumor, ALK positive by IHC"	"Myofibroblastic tumor, NOS"	
Release 47 liftover	"Inflammatory myofibroblastic tumor, ALK-1 negative"	"Myofibroblastic tumor, NOS"	
Release 47 liftover	INI-1 deficient malignant neoplasm	"Neoplasm, malignant"	
Release 47 liftover	"INI-1 deficient round to epithelioid cell tumor, malignant, most consistent with INI-1 deficient sarcoma"	"Epithelioid Neoplasm, NOS"	
Release 47 liftover	INI1-Deficient hematological malignancy	"Neoplasm, malignant"	
Release 47 liftover	INI1-deficient sarcoma	"Sarcoma, NOS"	
Release 47 liftover	INI-Deficient High-grade Malignant Neoplasm	"Neoplasm, malignant"	
Release 47 liftover	Intermediate grade glioma most consistent with Ependymoma	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Intra-abdominal fibromatosis	Unknown	
Release 47 liftover	Intracerebral schwannoma	Schwannoma	
Release 47 liftover	Intracranial mesenchymal tumor	"Mesenchymal Tumor, NOS"	
Release 47 liftover	Intracranial mesenchymal tumor with FET:CREB fusion	"Intracranial mesenchymal tumor, FET-CREB fusion-positive"	
Release 47 liftover	"Intracranial mesenchymal tumor, FET: CREB-positive"	"Intracranial mesenchymal tumor, FET-CREB fusion-positive"	
Release 47 liftover	Intradural extra medullary tumor Suggestive of ependymoma	"Neoplasm, NOS"	
Release 47 liftover	Intradural extramedullary tumor	"Neoplasm, NOS"	
Release 47 liftover	Intradural tumor with marked atypia c/w malignant lesion	"Neoplasm, NOS"	
Release 47 liftover	Intramucosal adenocarcinoma	"Adenocarcinoma, NOS"	
Release 47 liftover	Intraoperative consultation: Calcified glial lesion Dx: Markedly calcified lesion	Unknown	
Release 47 liftover	"Intraventricular mass, excision"	Unknown	
Release 47 liftover	"Intraventricular thalamopeduncular resection :Diffuse Midline Glioma, H3 K27M altered WHO grade 4"	"Diffuse Midline Glioma, H3 K27-altered"	
Release 47 liftover	Intraventricular tumor	"Neoplasm, NOS"	
Release 47 liftover	Invasive high-grade differentiated thyroid carcinoma	"Carcinoma, NOS"	
Release 47 liftover	Invasive melanoma	Melanoma	
Release 47 liftover	Invasive mucinous adenocarcinoma	Mucinous adenocarcinoma	
Release 47 liftover	"Invasive mucinous adenocarcinoma, pT2, moderately differentiated"	Mucinous adenocarcinoma	
Release 47 liftover	Invasive signet ring cell adenocarcinoma	Signet ring cell carcinoma	
Release 47 liftover	"Involved by metastatic neuroblastoma, poorly differentiated subtype, 70% of marrow."	Neuroblastoma	
Release 47 liftover	Involved by neuroblastoma (greater than 90 percent). Hypocellular marrow with minimal residual hematopoiesis.	Neuroblastoma	
Release 47 liftover	Involved by small round blue cell tumor	Unknown	
Release 47 liftover	Involvement by desmoplastic small round cell tumor	"Neoplasm, NOS"	
Release 47 liftover	Involvement by neuroblastoma	Neuroblastoma	
Release 47 liftover	Involvement by NUT carcinoma	NUT Carcinoma	
Release 47 liftover	Juvenile granulosa cell tumor involving ovary	Juvenile Granulosa Cell Tumor	
Release 47 liftover	Juvenile xanthogranuloma-family neoplasm	Juvenile xanthogranuloma	
Release 47 liftover	Juvenile xanthogranuloma-family neoplasm with high grade features	Juvenile xanthogranuloma	
Release 47 liftover	Juvenile-type granulosa cell tumor	Juvenile Granulosa Cell Tumor	
Release 47 liftover	Lactotroph pituitary neuroendocrine tumor/Pituitary adenoma	Pituitary Adenoma / Pituitary Neuroendocrine Tumour	
Release 47 liftover	Large cell calcifying sertoli cell tumor	"Sertoli cell tumor, NOS"	
Release 47 liftover	Large cell non-keratinizing squamous cell carcinoma	"Squamous cell carcinoma, large cell, nonkeratinizing, NOS"	
Release 47 liftover	"Large cell/anaplastic (LC/A) medulloblastoma, CNS WHO grade 4"	Large cell medulloblastoma	
Release 47 liftover	Large cell/anaplastic medulloblastoma	Large cell medulloblastoma	
Release 47 liftover	Large cell/anaplastic medulloblastoma (CNS WHO grade 4)	Large cell medulloblastoma	
Release 47 liftover	"Large cell/anaplastic medulloblastoma, non-WNT/non-SHH, WHO grade IV"	Large cell medulloblastoma	
Release 47 liftover	Laryngeal papilloma	Unknown	
Release 47 liftover	Left biopsy chest lesion	Unknown	
Release 47 liftover	Left CP Angle Mass	Unknown	
Release 47 liftover	Left CP Angle Mass; Schwannoma	Schwannoma	
Release 47 liftover	Left middle cranial fossa	Unknown	
Release 47 liftover	Left middle cranial fossa; Schwannoma	Schwannoma	
Release 47 liftover	Left supratentorial parietal brain tumor	"Brain Tumor, NOS"	
Release 47 liftover	Left Temporal Tumor	"Brain Tumor, NOS"	
Release 47 liftover	Left thoracic tumor	"Neoplasm, NOS"	
Release 47 liftover	Leiomyosarcoma FNCLCC grade 2	"Leiomyosarcoma, NOS"	
Release 47 liftover	"Leiomyosarcoma, low grade"	"Leiomyosarcoma, NOS"	
Release 47 liftover	leomorphic xanthoastrocytoma	Pleomorphic Xanthoastrocytoma	
Release 47 liftover	Lesional tissue obtained consistent with glioma	Unknown	
Release 47 liftover	Lesional tissue present consistent with small round blue cell tumor	Unknown	
Release 47 liftover	Lesional tissue present with some features of ganglioneuroblastoma	Unknown	
Release 47 liftover	"Lesional tissue present, favor low grade glioneuronal neoplasm"	Unknown	
Release 47 liftover	"Lesional tissue present, hypercellular round blue cell tumor"	Unknown	
Release 47 liftover	Lesional tissue present. Cannot rule out high grade neoplasm	Unknown	
Release 47 liftover	"Lesional tissue, atypical, favor low grade glial neoplasm."	Unknown	
Release 47 liftover	"Lesional tissue, differential includes ependymoma"	Unknown	
Release 47 liftover	"Lesional tissue, favor ependymoma"	Unknown	
Release 47 liftover	Leydig cell tumor	"Leydig cell tumor, NOS"	
Release 47 liftover	Leydig cell tumor and background seminiferous tubules with spermatogenesis	"Leydig cell tumor, NOS"	
Release 47 liftover	Likely metastatic alveolar rhabdomyosarcoma	Unknown	
Release 47 liftover	"Lipomatous tumor with extensive myxoid change, most consistent with lipoblastoma-like tumor"	"Neoplasm, NOS"	
Release 47 liftover	"Lobular and ossifying round cell neoplasm with brisk mitotic activity and necrosis, with morphologic features of malignant ossifying fibromyxoid tumor"	"Neoplasm, NOS"	
Release 47 liftover	Low cellularity glioma	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Low cellularity glioma, favor low grade"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low grade appearing glial neoplasm	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low grade astrocytic glioma	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	Low grade astrocytoma	"Astrocytoma, NOS"	
Release 47 liftover	"Low grade astrocytoma with histologic features of pilocytic astrocytoma, CNS WHO Grade 1"	"Astrocytoma, NOS"	
Release 47 liftover	Low grade astrocytoma with histological features of pilocytic astrocytoma	"Astrocytoma, NOS"	
Release 47 liftover	Low grade astrocytoma with pilocytic features	"Astrocytoma, NOS"	
Release 47 liftover	Low grade astrocytoma with piloid features	"Astrocytoma, NOS"	
Release 47 liftover	"Low grade astrocytoma, favor pilocytic astrocytoma"	"Astrocytoma, NOS"	
Release 47 liftover	Low grade carcinoma with clear cell features	"Carcinoma, NOS"	
Release 47 liftover	Low grade diffuse glioma	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	"Low grade diffuse glioma or glioneuronal tumor, BRAF-V600E mutant on Immunohistochemistry"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low grade diffuse type glioma	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	Low grade fibromyxoid sarcoma	Low-grade Fibromyxoid Sarcoma	
Release 47 liftover	Low grade glial cell neoplasm	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low grade glial lesion	Unknown	
Release 47 liftover	Low grade glial neoplasm	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low grade glial neoplasm consistent with pilocytic astrocytoma	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low grade glial neoplasm favor astrocytoma	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low grade glial neoplasm favor pilocytic astrocytoma	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Low grade glial neoplasm most consistent with pilocytic astrocytoma, WHO Grade 1"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Low grade glial neoplasm, consistent with pilocytic astrocytoma"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Low grade glial neoplasm, favor pilocytic astrocytoma"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Low grade Glial neoplasm, Favor pylocytic astrocytoma"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Low grade glial neoplasm, histologically most consistent with pilocytic astrosytoma, CNS WHO grade 1"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Low grade glial neoplasm, WHO Grade 1, favor pilocytic astrocytoma"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low grade glial neuronal tumor	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low grade glial or glioneuronal neoplasm	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low grade glial or glioneuronal tumor	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low grade glial tumor	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low grade glial tumor favor pilocytic astrocytoma	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low grade glial tumor with solid growth and infiltrative margins	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Low grade glial tumor, hypervascular"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low grade glial/ glioneuronal neoplasm	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low grade glial/ glioneuronal tumor	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low grade glial/glioneuroal neoplasm	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low grade glial/glioneuronal neoplasm	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Low grade glial/glioneuronal tumo, favor pilocytic astrocytoma"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low grade glial/glioneuronal tumor	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low grade glial/glioneuronal tumor morphologically consistent with dysembryoplastic neuroepithelial tumor CNS WHO grade 1	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Low grade glial/glioneuronal tumor predominantly showing features of a pilocytic astrocytoma, but with fragment showing features of ganglioglioma"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Low grade glial/glioneuronal tumor, favor CNS WHO grade 1"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low grade glial/glioneuronal tumor.	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low grade glioma	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	Low grade glioma and pilocytic astrocytoma is favored	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	low grade glioma consistent with pilocytic astrocytoma	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	Low Grade glioma histologically consistent with Pilocytic Astrocytoma	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	"Low grade glioma most compatible with pilocytic astrocytoma, CNS WHO grade 1"	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	low grade glioma most consistent with pilocytic/pilomyxoid astrocytoma. WHO grade 1	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	"Low grade glioma which morphologically aligns best with pilocytic astrocytoma, CNS WHO Grade 1"	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	Low grade glioma with apparent BRAF V600E expression	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	Low grade glioma with astrocytic features	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	"Low grade glioma with features of a pilocytic astrocytoma, WHO grade 1"	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	Low grade glioma with features of pilocytic astrocytoma	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	Low grade glioma with histologic features of myxopapillary ependymoma	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	Low grade glioma with piloid features	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	"Low grade glioma with piloid features, histologically consistent with Pilocytic astrocytoma, CNS WHO grade 1"	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	"Low grade glioma with piloid features, morphologically compatible with pilomyxoid astrocytoma, at least WHO grade 1"	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	"Low grade glioma, Align well with subependymal giant cell astrocytoma"	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	"Low grade glioma, cannot rule out additional neuronal component"	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	"Low grade glioma, consistent with pilocytic astrocytoma"	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	"Low grade glioma, consistent with Pilocytic astrocytoma, WHO Grade 1"	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	"Low grade glioma, favor pilocytic astrocytoma"	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	"Low grade glioma, favor pilocytic astrocytoma, CNS WHO Grade 1"	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	"Low grade glioma, favor pilocytic astrocytoma, preliminary WHO Grade 1"	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	"Low grade glioma, morphologically aligning best with pilocytic astrocytoma"	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	"Low grade glioma, morphologically aligning well with classic biphasic pilocytic astrocytoma"	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	"Low grade glioma, morphologically aligning well with classic pilocytic astrocytoma"	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	Low grade glioma. Favors dysembryoplastic neuroepithelial tumor	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	Low grade glioma/glioneuronal tumor	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Low grade glioma/glioneuronal tumor most suggestive of pilocytic astrocytoma, WHO grade 1"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	low grade glioneuronal neoplasm	"Glioneuronal and Neuronal Tumors, NOS"	
Release 47 liftover	Low grade glio-neuronal neoplasm	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Low grade glioneuronal neoplasm consistent with ganglioglioma, CNS WHO Grade 1"	"Glioneuronal and Neuronal Tumors, NOS"	
Release 47 liftover	Low grade glioneuronal neoplasm most consistent with ganglioglioma	"Glioneuronal and Neuronal Tumors, NOS"	
Release 47 liftover	"Low grade glioneuronal neoplasm, including ganglioglioma"	"Glioneuronal and Neuronal Tumors, NOS"	
Release 47 liftover	Low grade glioneuronal proliferation	Unknown	
Release 47 liftover	Low grade glioneuronal tumor	"Glioneuronal and Neuronal Tumors, NOS"	
Release 47 liftover	Low grade glioneuronal tumor (favor Grade 1 ganglioglioma)	"Glioneuronal and Neuronal Tumors, NOS"	
Release 47 liftover	"Low grade glioneuronal tumor most consistent with dysembryoplastic neuroepithelial tumor, CNS WHO Grade 1"	"Glioneuronal and Neuronal Tumors, NOS"	
Release 47 liftover	"Low grade glioneuronal tumor, favor a papillary glioneuronal tumor"	"Glioneuronal and Neuronal Tumors, NOS"	
Release 47 liftover	"Low grade glioneuronal tumor, favor dysembryoplastic neuroepithelial tumor"	"Glioneuronal and Neuronal Tumors, NOS"	
Release 47 liftover	"Low grade glioneuronal tumor, favor ganglioglioma"	"Glioneuronal and Neuronal Tumors, NOS"	
Release 47 liftover	"Low grade glioneuronal tumor, favored ganglioglioma, CNS WHO Grade 1"	"Glioneuronal and Neuronal Tumors, NOS"	
Release 47 liftover	Low grade glioneuronal versus glial neoplasm	"Glioneuronal and Neuronal Tumors, NOS"	
Release 47 liftover	low grade glioneuronal/glial tumor	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low grade infiltrating astrocytic tumor	"Neoplasm, NOS"	
